Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Benartefa],Price [Benartefa],In stock [Benartefa],Low stock [Benartefa]
ZINC-SHP-80-SOFT-SHINE/TC-6068,412118,ZINC-SHP-80-SOFT-SHINE/TC-6068,Non Food,,N,,,,,,,10490,8998866606813,,,Y,Y,11700,2.000,
ZINC-SHP-ACT-FRESH-DB-SACH-10,412119,ZINC-SHP-ACT-FRESH-DB-SACH-10,Non Food,,N,,,,,,,4865,8998866108799,,,Y,Y,5400,4.000,
ZINC-SHP-HIJAB-BTL-170-RAMBUT-RONTOK,412120,ZINC-SHP-HIJAB-BTL-170-RAMBUT-RONTOK,Non Food,,N,,,,,,,21925,8998866109116,,,Y,Y,24300,3.000,
ZINC-SHP-HIJAM-170-BTL-PERAWATAN-RAMBUT,412121,ZINC-SHP-HIJAM-170-BTL-PERAWATAN-RAMBUT,Non Food,,N,,,,,,,21925,8998866109147,,,Y,Y,24300,3.000,
ZINC-SHP-SACH-BLACKSHINE-12ML,412122,ZINC-SHP-SACH-BLACKSHINE-12ML,Non Food,,N,,,,,,,4865,8998866104913,,,Y,Y,5400,3.000,
ZINC-SHP-SACH-CLEAN-ACTIVE,412123,ZINC-SHP-SACH-CLEAN-ACTIVE,Non Food,,N,,,,,,,4865,8998866107471,,,Y,Y,5400,0.000,
ZINC-SHP-SACH-HAIRFALL-TREATM-12ML,412124,ZINC-SHP-SACH-HAIRFALL-TREATM-12ML,Non Food,,N,,,,,,,4865,8998866102001,,,Y,Y,5400,1.000,
ZINC-SHP-SACH-MEN-ANTI-HF,412125,ZINC-SHP-SACH-MEN-ANTI-HF,Non Food,,N,,,,,,,4865,8998866106344,,,Y,Y,5400,2.000,
ZINC-SHP-SACH-REFRESHING-12ML,412126,ZINC-SHP-SACH-REFRESHING-12ML,Non Food,,N,,,,,,,4865,8998866101097,,,Y,Y,5400,1.000,
ZINC-SHP-SACH-SOFT-CARE-12ML,412127,ZINC-SHP-SACH-SOFT-CARE-12ML,Non Food,,N,,,,,,,4865,8998866606844,,,Y,Y,5400,1.000,
ZRM-PAPER-CLIP-WRN,33048,ZRM-PAPER-CLIP-WRN,atk,,N,,,,,,,4000,M0048220,,,Y,Y,4400,2.000,
ZWIT-BB-BATH-NAT-200-HAIR&B/ALOE-VERA,26013,ZWIT-BB-BATH-NAT-200-HAIR&B/ALOE-VERA,Non food,,N,,,,,,,23445,8992694247255,,,Y,Y,26000,1.000,
ZWIT-BB-CLSC-CLG-100-FD/SOFT-TOUCH,26019,ZWIT-BB-CLSC-CLG-100-FD/SOFT-TOUCH,Non food,,N,,,,,,,21030,8992694248047,,,Y,Y,23300,2.000,
ZWIT-BB-CLSC-CLG-100-FF/FLORAL-KISS,26018,ZWIT-BB-CLSC-CLG-100-FF/FLORAL-KISS,Non food,,N,,,,,,,21030,8992694242113,,,Y,Y,23300,2.000,
ZWIT-BB-CLSC-PWD-100-SOFT-F,26012,ZWIT-BB-CLSC-PWD-100-SOFT-F,Non food,,N,,,,,,,7430,8992694242618,,,Y,Y,8200,2.000,
